ticker,exchange,currency,close,daily_change_pct,weekly_change_pct,monthly_change_pct,six_month_change_pct,ytd_pct
BMO.TO,TSX,CAD,253.24,1.24,1.03,10.47,38.18,65.56
LLY,NYSE,USD,1235.56,2.96,3.01,9.2,11.5,
FIX,NYSE,USD,1683.44,-6.11,-15.06,-8.7,62.63,
VOO,NYSE,USD,687.08,-0.51,0.04,1.34,8.34,
VTI,NYSE,USD,369.61,-0.55,-0.12,1.71,8.69,
LIN,NYSE,USD,538.23,-0.42,3.72,5.97,23.98,
ANET,NYSE,USD,166.46,-3.94,-2.01,7.9,27.97,
SPMO,NYSE,USD,149.42,-2.33,-7.5,3.56,24.32,
MU,NASDAQ,USD,938.38,-4.71,-18.71,8.61,176.36,
AMD,NASDAQ,USD,516.11,-6.51,-11.15,10.66,145.74,
GOOGL,NASDAQ,USD,367.03,0.16,2.7,-0.41,13.99,
CDNS,NASDAQ,USD,371.06,-1.25,-1.14,-1.36,15.76,
KLAC,NASDAQ,USD,216.47,-7.22,-28.25,12.21,59.21,
LRCX,NASDAQ,USD,326.13,-6.87,-24.74,7.53,60.59,
QQQM,NASDAQ,USD,292.14,-1.81,-3.57,0.62,13.7,
RKLB,NASDAQ,USD,83.41,-10.4,-17.94,-24.23,-0.8,
